dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0
ml100k,tpe,24,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,87,490,144.23948623387835,0.076921290090755,0.079031009902108,0.079031009902108
ml100k,successive_halving,24,0.074809747535055,als|factors=128;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,41,0,144.28385416666666,0.059605975175858,0.064639157439457,0.074809747535055
ml100k,hyperband,24,0.073312016856717,als|factors=128;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,42,0,144.99882669413918,0.057261983551716,0.073312016856717,0.073312016856717
ml100k,sm2,24,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,67,0,152.0890290466962,0.077170461291231,0.077170461291231,0.078775994455641
ml100k,bocs,24,0.078174671117688,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,36,0,145.6328125,0.064108060182604,0.078174671117688,0.078174671117688
ml100k,fmqa,24,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,65,0,155.70547249907713,0.072202953637077,0.079068094664324,0.079068094664324
ml100k,grid,25,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,151.27648918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,25,0.07889310261079,als|factors=32;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,41,2,146.67057291666669,0.071679297159898,0.071679297159898,0.07889310261079
ml100k,tpe,25,0.078916562402482,als|factors=32;epochs=15;regularisation=0.001;alpha=1.0|frac=1.0,78,356,147.03338504340218,0.076887166977308,0.076887166977308,0.078916562402482
ml100k,successive_halving,25,0.072035376748097,als|factors=128;epochs=5;regularisation=0.001;alpha=1.0|frac=1.0,47,0,145.02864583333331,0.071759479563012,0.071909148805321,0.072035376748097
