family,epochs,data_fraction,seed,param.factors,param.regularisation,param.alpha,train_cpu_seconds,train_wall_seconds,val_ndcg_at_10,val_recall_at_10,param.latent,param.hidden,param.dropout
als,5,0.25,1,32.0,0.001,40.0,0.140625,0.1416748000010557,0.07049933448893338,0.1358574610244989,,,
als,15,0.25,0,32.0,0.001,40.0,0.375,0.3833301999984542,0.0851595918802504,0.155902004454343,,,
als,15,0.25,1,32.0,0.001,40.0,0.40625,0.4013809999996738,0.0858114692224264,0.17371937639198218,,,
als,30,0.25,0,32.0,0.001,40.0,0.8125,0.8178880000014033,0.09281586931192402,0.1714922048997773,,,
als,30,0.25,1,32.0,0.001,40.0,0.78125,0.7850622999976622,0.08895608446550432,0.17371937639198218,,,
als,5,0.5,0,32.0,0.001,40.0,0.140625,0.13589259999935166,0.09734521933554062,0.1915367483296214,,,
als,5,0.5,1,32.0,0.001,40.0,0.140625,0.13941519999934826,0.09140675388726646,0.17817371937639198,,,
als,15,0.5,0,32.0,0.001,40.0,0.40625,0.40116630000193254,0.09590258744860959,0.20044543429844097,,,
als,15,0.5,1,32.0,0.001,40.0,0.390625,0.39965890000166837,0.1021227462776972,0.19821826280623608,,,
als,30,0.5,0,32.0,0.001,40.0,0.796875,0.8060973999999987,0.10190167574154281,0.19821826280623608,,,
als,30,0.5,1,32.0,0.001,40.0,0.796875,0.7959594999992987,0.10169864973839465,0.20935412026726058,,,
als,5,1.0,0,32.0,0.001,40.0,0.140625,0.13430549999975483,0.11777846208916745,0.22494432071269488,,,
als,5,1.0,1,32.0,0.001,40.0,0.140625,0.13795440000103554,0.10533314085686121,0.2071269487750557,,,
als,15,1.0,0,32.0,0.001,40.0,0.390625,0.40396980000150506,0.12644355460930845,0.21603563474387527,,,
als,15,1.0,1,32.0,0.001,40.0,0.421875,0.41734680000081426,0.12284046403180286,0.22494432071269488,,,
als,30,1.0,0,32.0,0.001,40.0,0.828125,0.8234651999991911,0.13333925690641274,0.2383073496659243,,,
als,30,1.0,1,32.0,0.001,40.0,0.796875,0.7991312999984075,0.12449370503393002,0.23162583518930957,,,
als,5,0.25,0,32.0,0.01,1.0,0.125,0.13219019999814918,0.07075419850369917,0.13808463251670378,,,
als,5,0.25,1,32.0,0.01,1.0,0.125,0.12806060000002617,0.07423519039871515,0.1492204899777283,,,
als,15,0.25,0,32.0,0.01,1.0,0.390625,0.38429639999958454,0.09269959326882984,0.1759465478841871,,,
als,15,0.25,1,32.0,0.01,1.0,0.40625,0.40623580000101356,0.09397181961088527,0.16703786191536749,,,
als,30,0.25,0,32.0,0.01,1.0,0.8125,0.8135680000013963,0.09227668599260246,0.16926503340757237,,,
als,30,0.25,1,32.0,0.01,1.0,0.8125,0.8471724000009999,0.08813502964735438,0.16258351893095768,,,
als,5,0.5,0,32.0,0.01,1.0,0.15625,0.15519859999767505,0.11368027122766448,0.21158129175946547,,,
als,5,0.5,1,32.0,0.01,1.0,0.140625,0.14020410000011907,0.09788518311897024,0.1915367483296214,,,
als,15,0.5,0,32.0,0.01,1.0,0.40625,0.40551659999982803,0.10711030106490312,0.19599109131403117,,,
als,15,0.5,1,32.0,0.01,1.0,0.421875,0.42108590000134427,0.1030176336682253,0.19376391982182628,,,
als,30,0.5,0,32.0,0.01,1.0,0.875,0.860813600000256,0.1148564433398306,0.20489977728285078,,,
