dataset,family,role,seed,data_fraction,n_train_interactions,n_items,n_users,n_eval_users,train_cpu_seconds,train_wall_seconds,train_cpu_utilisation,train_below_quantum,serve_cpu_seconds,serve_wall_seconds,score_wall_seconds,peak_rss_bytes,model_bytes,val_ndcg_at_10,val_recall_at_10,threads,param.topk,param.shrink,param.order,param.smoothing,param.decay,param.factors,param.epochs,param.regularisation,param.alpha,param.latent,param.hidden,param.dropout
gift_cards,markov,cheap,0,1.0,2041,146,456,449,0.015625,0.005515299999387935,2.8330281220847455,True,0.078125,0.0847767000013846,0.019194600001355866,607752192,38624,0.19055874713755627,0.32516703786191536,1,,,2.0,0.1,True,,,,,,,
gift_cards,als,base,0,1.0,2041,146,456,449,0.8125,0.8088192000031995,1.004550831628114,False,0.03125,0.033752899998944486,0.02216749999934109,607752192,308224,0.08052463760956009,0.16481069042316257,1,,,,,,64.0,15.0,0.01,40.0,,,
gift_cards,als,factors,0,1.0,2041,146,456,449,0.359375,0.345090099999652,1.0413946966324517,False,0.03125,0.03183809999973164,0.02030939999895054,607752192,77056,0.14303790391183965,0.27616926503340755,1,,,,,,16.0,15.0,0.01,40.0,,,
gift_cards,als,factors,0,1.0,2041,146,456,449,0.390625,0.3839280000029248,1.0174433747916904,False,0.015625,0.028329199998552212,0.018860899999708636,607752192,154112,0.12373101673010266,0.22494432071269488,1,,,,,,32.0,15.0,0.01,40.0,,,
gift_cards,als,factors,0,1.0,2041,146,456,449,1.78125,1.7910948999997345,0.994503417993242,False,0.03125,0.029058500000246568,0.01723859999765409,607752192,616448,0.02842319496395516,0.0645879732739421,1,,,,,,128.0,15.0,0.01,40.0,,,
gift_cards,als,epochs,0,1.0,2041,146,456,449,0.234375,0.22342349999962607,1.0490167775564891,False,0.015625,0.026167900003201794,0.016582399999606423,607752192,308224,0.0723224057378117,0.1447661469933185,1,,,,,,64.0,5.0,0.01,40.0,,,
gift_cards,als,epochs,0,1.0,2041,146,456,449,1.296875,1.2988680000016757,0.99846558695597,False,0.03125,0.027470299999549752,0.01780299999882118,607752192,308224,0.08081216372864429,0.1603563474387528,1,,,,,,64.0,30.0,0.01,40.0,,,
gift_cards,als,fraction,0,0.25,636,146,456,449,0.625,0.6269253999998909,0.9969288211964433,False,0.03125,0.026413800002046628,0.017135699999926146,607752192,308224,0.05764966427234809,0.11581291759465479,1,,,,,,64.0,15.0,0.01,40.0,,,
gift_cards,als,fraction,0,0.5,1164,146,456,449,0.65625,0.649571099998866,1.0102820153192555,False,0.03125,0.03206030000001192,0.018401999997877283,607752192,308224,0.06313605801003924,0.1358574610244989,1,,,,,,64.0,15.0,0.01,40.0,,,
gift_cards,als,corner,0,0.25,636,146,456,449,4.0625,4.115011400001094,0.9872390632985657,False,0.046875,0.03648619999876246,0.036210800000844756,607752192,616448,0.04305950109784091,0.08463251670378619,1,,,,,,128.0,30.0,0.01,40.0,,,
gift_cards,multvae,base,0,1.0,2041,146,456,449,0.625,0.6189083000026585,1.009842653584247,False,0.03125,0.03243339999971795,0.017685599999822443,607752192,1167496,0.17074444318260634,0.3674832962138085,1,,,,,,,20.0,,,64.0,600.0,0.5
gift_cards,multvae,hidden,0,1.0,2041,146,456,449,0.359375,0.365388800000801,0.9835413674398673,False,0.03125,0.031113499997445615,0.020480399998632492,607752192,389896,0.14304021594437433,0.30734966592427615,1,,,,,,,20.0,,,64.0,200.0,0.5
gift_cards,multvae,latent,0,1.0,2041,146,456,449,0.578125,0.5777142000006279,1.0007110782448685,False,0.03125,0.035255700000561774,0.018304699999134755,607752192,936840,0.17593581750643392,0.3741648106904232,1,,,,,,,20.0,,,32.0,600.0,0.5
gift_cards,multvae,latent,0,1.0,2041,146,456,449,0.71875,0.7344948999998451,0.9785636360445139,False,0.046875,0.03606479999871226,0.0183327000013378,607752192,1628808,0.17300675365170098,0.37193763919821826,1,,,,,,,20.0,,,128.0,600.0,0.5
gift_cards,multvae,epochs,0,1.0,2041,146,456,449,0.296875,0.3039820999983931,0.9766200049330843,False,0.046875,0.04139420000137761,0.0212041999984649,607752192,1167496,0.14198508368857268,0.29398663697104677,1,,,,,,,10.0,,,64.0,600.0,0.5
gift_cards,multvae,fraction,0,0.25,636,146,456,449,0.65625,0.6566261000007216,0.9994272234979371,False,0.046875,0.037839200002053985,0.019908899997972185,607752192,1167496,0.10700933996631269,0.20935412026726058,1,,,,,,,20.0,,,64.0,600.0,0.5
gift_cards,multvae,fraction,0,0.5,1164,146,456,449,0.609375,0.6185570000016014,0.9851557738388255,False,0.03125,0.0357229000001098,0.01952739999978803,607752192,1167496,0.17073712999807852,0.3429844097995546,1,,,,,,,20.0,,,64.0,600.0,0.5
gift_cards,multvae,corner,0,0.25,636,146,456,449,0.203125,0.20245639999848208,1.0033024394463348,False,0.03125,0.031023999999888474,0.018479099999240134,607752192,544008,0.10307662593122072,0.20935412026726058,1,,,,,,,10.0,,,128.0,200.0,0.0
